"rain_accum","arc_length","Points:0","Points:1","Points:2"
5.4285,78300,3300,200,0
5.3186,78450,3450,200,0
5.233,78600,3600,200,0
5.1631,78750,3750,200,0
5.0971,78900,3900,200,0
5.0292,79050,4050,200,0
4.9567,79200,4200,200,0
4.8772,79350,4350,200,0
4.7924,79500,4500,200,0
4.702,79650,4650,200,0
4.6083,79800,4800,200,0
4.512,79950,4950,200,0
4.4146,80100,5100,200,0
4.3163,80250,5250,200,0
4.2172,80400,5400,200,0
4.1165,80550,5550,200,0
4.0133,80700,5700,200,0
3.9054,80850,5850,200,0
3.7923,81000,6000,200,0
3.6714,81150,6150,200,0
3.5433,81300,6300,200,0
3.406,81450,6450,200,0
3.2618,81600,6600,200,0
3.1103,81750,6750,200,0
2.9542,81900,6900,200,0
2.7949,82050,7050,200,0
2.6346,82200,7200,200,0
2.4754,82350,7350,200,0
2.3185,82500,7500,200,0
2.1661,82650,7650,200,0
2.0183,82800,7800,200,0
1.8771,82950,7950,200,0
1.7418,83100,8100,200,0
1.6147,83250,8250,200,0
1.4947,83400,8400,200,0
1.3841,83550,8550,200,0
1.2815,83700,8700,200,0
1.1894,83850,8850,200,0
1.106,84000,9000,200,0
1.0334,84150,9150,200,0
0.96938,84300,9300,200,0
0.91561,84450,9450,200,0
0.86948,84600,9600,200,0
0.83201,84750,9750,200,0
0.80064,84900,9900,200,0
0.77577,85050,10050,200,0
0.75519,85200,10200,200,0
0.73885,85350,10350,200,0
0.72505,85500,10500,200,0
0.71347,85650,10650,200,0
0.70295,85800,10800,200,0
0.69305,85950,10950,200,0
0.68314,86100,11100,200,0
0.67273,86250,11250,200,0
0.66163,86400,11400,200,0
0.64944,86550,11550,200,0
0.63628,86700,11700,200,0
0.62193,86850,11850,200,0
0.60671,87000,12000,200,0
0.59061,87150,12150,200,0
0.57401,87300,12300,200,0
0.55712,87450,12450,200,0
0.54027,87600,12600,200,0
0.52382,87750,12750,200,0
0.50795,87900,12900,200,0
0.49305,88050,13050,200,0
0.47909,88200,13200,200,0
0.4664,88350,13350,200,0
0.45475,88500,13500,200,0
0.44429,88650,13650,200,0
0.43466,88800,13800,200,0
0.42582,88950,13950,200,0
0.41736,89100,14100,200,0
0.40904,89250,14250,200,0
0.40053,89400,14400,200,0
0.39143,89550,14550,200,0
0.38156,89700,14700,200,0
0.37044,89850,14850,200,0
0.35811,90000,15000,200,0
0.34409,90150,15150,200,0
0.32862,90300,15300,200,0
0.31134,90450,15450,200,0
0.29265,90600,15600,200,0
0.27239,90750,15750,200,0
0.25107,90900,15900,200,0
0.22875,91050,16050,200,0
0.20595,91200,16200,200,0
0.18298,91350,16350,200,0
0.16025,91500,16500,200,0
0.13827,91650,16650,200,0
0.11724,91800,16800,200,0
0.097781,91950,16950,200,0
0.079836,92100,17100,200,0
0.064008,92250,17250,200,0
0.049986,92400,17400,200,0
0.03826,92550,17550,200,0
0.02833,92700,17700,200,0
0.020513,92850,17850,200,0
0.01423,93000,18000,200,0
0.0096208,93150,18150,200,0
0.0061388,93300,18300,200,0
0.0037963,93450,18450,200,0
0.0021599,93600,18600,200,0
0.0011778,93750,18750,200,0
0.00056245,93900,18900,200,0
0.00025093,94050,19050,200,0
8.7299e-05,94200,19200,200,0
2.6499e-05,94350,19350,200,0
4.2928e-06,94500,19500,200,0
4.8091e-07,94650,19650,200,0
1.1008e-09,94800,19800,200,0
0,94950,19950,200,0
0,95100,20100,200,0
0,95250,20250,200,0
0,95400,20400,200,0
0,95550,20550,200,0
0,95700,20700,200,0
0,95850,20850,200,0
0,96000,21000,200,0
0,96150,21150,200,0
0,96300,21300,200,0
0,96450,21450,200,0
0,96600,21600,200,0
0,96750,21750,200,0
0,96900,21900,200,0
0,97050,22050,200,0
0,97200,22200,200,0
0,97350,22350,200,0
0,97500,22500,200,0
0,97650,22650,200,0
0,97800,22800,200,0
0,97950,22950,200,0
0,98100,23100,200,0
0,98250,23250,200,0
0,98400,23400,200,0
0,98550,23550,200,0
0,98700,23700,200,0
0,98850,23850,200,0
0,99000,24000,200,0
0,99150,24150,200,0
0,99300,24300,200,0
0,99450,24450,200,0
0,99600,24600,200,0
0,99750,24750,200,0
0,99900,24900,200,0
0,1.0005e+05,25050,200,0
0,1.002e+05,25200,200,0
0,1.0035e+05,25350,200,0
0,1.005e+05,25500,200,0
0,1.0065e+05,25650,200,0
0,1.008e+05,25800,200,0
0,1.0095e+05,25950,200,0
0,1.011e+05,26100,200,0
0,1.0125e+05,26250,200,0
0,1.014e+05,26400,200,0
0,1.0155e+05,26550,200,0
0,1.017e+05,26700,200,0
0,1.0185e+05,26850,200,0
0,1.02e+05,27000,200,0
0,1.0215e+05,27150,200,0
0,1.023e+05,27300,200,0
0,1.0245e+05,27450,200,0
0,1.026e+05,27600,200,0
0,1.0275e+05,27750,200,0
0,1.029e+05,27900,200,0
0,1.0305e+05,28050,200,0
0,1.032e+05,28200,200,0
0,1.0335e+05,28350,200,0
0,1.035e+05,28500,200,0
0,1.0365e+05,28650,200,0
0,1.038e+05,28800,200,0
0,1.0395e+05,28950,200,0
0,1.041e+05,29100,200,0
0,1.0425e+05,29250,200,0
0,1.044e+05,29400,200,0
0,1.0455e+05,29550,200,0
0,1.047e+05,29700,200,0
0,1.0485e+05,29850,200,0
0,1.05e+05,30000,200,0
0,1.0515e+05,30150,200,0
0,1.053e+05,30300,200,0
0,1.0545e+05,30450,200,0
0,1.056e+05,30600,200,0
0,1.0575e+05,30750,200,0
0,1.059e+05,30900,200,0
0,1.0605e+05,31050,200,0
0,1.062e+05,31200,200,0
0,1.0635e+05,31350,200,0
0,1.065e+05,31500,200,0
0,1.0665e+05,31650,200,0
0,1.068e+05,31800,200,0
0,1.0695e+05,31950,200,0
0,1.071e+05,32100,200,0
0,1.0725e+05,32250,200,0
0,1.074e+05,32400,200,0
0,1.0755e+05,32550,200,0
0,1.077e+05,32700,200,0
0,1.0785e+05,32850,200,0
0,1.08e+05,33000,200,0
0,1.0815e+05,33150,200,0
0,1.083e+05,33300,200,0
0,1.0845e+05,33450,200,0
0,1.086e+05,33600,200,0
0,1.0875e+05,33750,200,0
0,1.089e+05,33900,200,0
0,1.0905e+05,34050,200,0
0,1.092e+05,34200,200,0
0,1.0935e+05,34350,200,0
0,1.095e+05,34500,200,0
0,1.0965e+05,34650,200,0
0,1.098e+05,34800,200,0
0,1.0995e+05,34950,200,0
0,1.101e+05,35100,200,0
0,1.1025e+05,35250,200,0
0,1.104e+05,35400,200,0
0,1.1055e+05,35550,200,0
0,1.107e+05,35700,200,0
0,1.1085e+05,35850,200,0
0,1.11e+05,36000,200,0
0,1.1115e+05,36150,200,0
0,1.113e+05,36300,200,0
0,1.1145e+05,36450,200,0
0,1.116e+05,36600,200,0
0,1.1175e+05,36750,200,0
0,1.119e+05,36900,200,0
0,1.1205e+05,37050,200,0
0,1.122e+05,37200,200,0
0,1.1235e+05,37350,200,0
0,1.125e+05,37500,200,0
0,1.1265e+05,37650,200,0
0,1.128e+05,37800,200,0
0,1.1295e+05,37950,200,0
0,1.131e+05,38100,200,0
0,1.1325e+05,38250,200,0
0,1.134e+05,38400,200,0
0,1.1355e+05,38550,200,0
0,1.137e+05,38700,200,0
0,1.1385e+05,38850,200,0
0,1.14e+05,39000,200,0
0,1.1415e+05,39150,200,0
0,1.143e+05,39300,200,0
0,1.1445e+05,39450,200,0
0,1.146e+05,39600,200,0
0,1.1475e+05,39750,200,0
0,1.149e+05,39900,200,0
0,1.1505e+05,40050,200,0
0,1.152e+05,40200,200,0
0,1.1535e+05,40350,200,0
0,1.155e+05,40500,200,0
0,1.1565e+05,40650,200,0
0,1.158e+05,40800,200,0
0,1.1595e+05,40950,200,0
0,1.161e+05,41100,200,0
0,1.1625e+05,41250,200,0
0,1.164e+05,41400,200,0
0,1.1655e+05,41550,200,0
0,1.167e+05,41700,200,0
0,1.1685e+05,41850,200,0
0,1.17e+05,42000,200,0
0,1.1715e+05,42150,200,0
0,1.173e+05,42300,200,0
0,1.1745e+05,42450,200,0
0,1.176e+05,42600,200,0
0,1.1775e+05,42750,200,0
0,1.179e+05,42900,200,0
0,1.1805e+05,43050,200,0
0,1.182e+05,43200,200,0
0,1.1835e+05,43350,200,0
0,1.185e+05,43500,200,0
0,1.1865e+05,43650,200,0
0,1.188e+05,43800,200,0
0,1.1895e+05,43950,200,0
0,1.191e+05,44100,200,0
0,1.1925e+05,44250,200,0
0,1.194e+05,44400,200,0
0,1.1955e+05,44550,200,0
0,1.197e+05,44700,200,0
0,1.1985e+05,44850,200,0
0,1.2e+05,45000,200,0
0,1.2015e+05,45150,200,0
0,1.203e+05,45300,200,0
0,1.2045e+05,45450,200,0
0,1.206e+05,45600,200,0
0,1.2075e+05,45750,200,0
0,1.209e+05,45900,200,0
0,1.2105e+05,46050,200,0
0,1.212e+05,46200,200,0
0,1.2135e+05,46350,200,0
0,1.215e+05,46500,200,0
0,1.2165e+05,46650,200,0
0,1.218e+05,46800,200,0
0,1.2195e+05,46950,200,0
0,1.221e+05,47100,200,0
0,1.2225e+05,47250,200,0
0,1.224e+05,47400,200,0
0,1.2255e+05,47550,200,0
0,1.227e+05,47700,200,0
0,1.2285e+05,47850,200,0
0,1.23e+05,48000,200,0
0,1.2315e+05,48150,200,0
0,1.233e+05,48300,200,0
0,1.2345e+05,48450,200,0
0,1.236e+05,48600,200,0
0,1.2375e+05,48750,200,0
0,1.239e+05,48900,200,0
0,1.2405e+05,49050,200,0
0,1.242e+05,49200,200,0
0,1.2435e+05,49350,200,0
0,1.245e+05,49500,200,0
0,1.2465e+05,49650,200,0
0,1.248e+05,49800,200,0
0,1.2495e+05,49950,200,0
0,1.251e+05,50100,200,0
0,1.2525e+05,50250,200,0
0,1.254e+05,50400,200,0
0,1.2555e+05,50550,200,0
0,1.257e+05,50700,200,0
0,1.2585e+05,50850,200,0
0,1.26e+05,51000,200,0
0,1.2615e+05,51150,200,0
0,1.263e+05,51300,200,0
0,1.2645e+05,51450,200,0
0,1.266e+05,51600,200,0
0,1.2675e+05,51750,200,0
0,1.269e+05,51900,200,0
0,1.2705e+05,52050,200,0
0,1.272e+05,52200,200,0
0,1.2735e+05,52350,200,0
0,1.275e+05,52500,200,0
0,1.2765e+05,52650,200,0
0,1.278e+05,52800,200,0
0,1.2795e+05,52950,200,0
0,1.281e+05,53100,200,0
0,1.2825e+05,53250,200,0
0,1.284e+05,53400,200,0
0,1.2855e+05,53550,200,0
0,1.287e+05,53700,200,0
0,1.2885e+05,53850,200,0
0,1.29e+05,54000,200,0
0,1.2915e+05,54150,200,0
0,1.293e+05,54300,200,0
0,1.2945e+05,54450,200,0
0,1.296e+05,54600,200,0
0,1.2975e+05,54750,200,0
0,1.299e+05,54900,200,0
0,1.3005e+05,55050,200,0
0,1.302e+05,55200,200,0
0,1.3035e+05,55350,200,0
0,1.305e+05,55500,200,0
0,1.3065e+05,55650,200,0
0,1.308e+05,55800,200,0
0,1.3095e+05,55950,200,0
0,1.311e+05,56100,200,0
0,1.3125e+05,56250,200,0
0,1.314e+05,56400,200,0
0,1.3155e+05,56550,200,0
0,1.317e+05,56700,200,0
0,1.3185e+05,56850,200,0
0,1.32e+05,57000,200,0
0,1.3215e+05,57150,200,0
0,1.323e+05,57300,200,0
0,1.3245e+05,57450,200,0
0,1.326e+05,57600,200,0
0,1.3275e+05,57750,200,0
0,1.329e+05,57900,200,0
0,1.3305e+05,58050,200,0
0,1.332e+05,58200,200,0
0,1.3335e+05,58350,200,0
0,1.335e+05,58500,200,0
0,1.3365e+05,58650,200,0
0,1.338e+05,58800,200,0
0,1.3395e+05,58950,200,0
0,1.341e+05,59100,200,0
0,1.3425e+05,59250,200,0
0,1.344e+05,59400,200,0
0,1.3455e+05,59550,200,0
0,1.347e+05,59700,200,0
0,1.3485e+05,59850,200,0
0,1.35e+05,60000,200,0
0,1.3515e+05,60150,200,0
0,1.353e+05,60300,200,0
0,1.3545e+05,60450,200,0
0,1.356e+05,60600,200,0
0,1.3575e+05,60750,200,0
0,1.359e+05,60900,200,0
0,1.3605e+05,61050,200,0
0,1.362e+05,61200,200,0
0,1.3635e+05,61350,200,0
0,1.365e+05,61500,200,0
0,1.3665e+05,61650,200,0
0,1.368e+05,61800,200,0
0,1.3695e+05,61950,200,0
0,1.371e+05,62100,200,0
0,1.3725e+05,62250,200,0
0,1.374e+05,62400,200,0
0,1.3755e+05,62550,200,0
0,1.377e+05,62700,200,0
0,1.3785e+05,62850,200,0
0,1.38e+05,63000,200,0
0,1.3815e+05,63150,200,0
0,1.383e+05,63300,200,0
0,1.3845e+05,63450,200,0
0,1.386e+05,63600,200,0
0,1.3875e+05,63750,200,0
0,1.389e+05,63900,200,0
0,1.3905e+05,64050,200,0
0,1.392e+05,64200,200,0
0,1.3935e+05,64350,200,0
0,1.395e+05,64500,200,0
0,1.3965e+05,64650,200,0
0,1.398e+05,64800,200,0
0,1.3995e+05,64950,200,0
0,1.401e+05,65100,200,0
0,1.4025e+05,65250,200,0
0,1.404e+05,65400,200,0
0,1.4055e+05,65550,200,0
0,1.407e+05,65700,200,0
0,1.4085e+05,65850,200,0
0,1.41e+05,66000,200,0
0,1.4115e+05,66150,200,0
0,1.413e+05,66300,200,0
0,1.4145e+05,66450,200,0
0,1.416e+05,66600,200,0
0,1.4175e+05,66750,200,0
0,1.419e+05,66900,200,0
0,1.4205e+05,67050,200,0
0,1.422e+05,67200,200,0
0,1.4235e+05,67350,200,0
0,1.425e+05,67500,200,0
0,1.4265e+05,67650,200,0
0,1.428e+05,67800,200,0
0,1.4295e+05,67950,200,0
0,1.431e+05,68100,200,0
0,1.4325e+05,68250,200,0
0,1.434e+05,68400,200,0
0,1.4355e+05,68550,200,0
0,1.437e+05,68700,200,0
0,1.4385e+05,68850,200,0
0,1.44e+05,69000,200,0
0,1.4415e+05,69150,200,0
0,1.443e+05,69300,200,0
0,1.4445e+05,69450,200,0
0,1.446e+05,69600,200,0
0,1.4475e+05,69750,200,0
0,1.449e+05,69900,200,0
0,1.4505e+05,70050,200,0
0,1.452e+05,70200,200,0
0,1.4535e+05,70350,200,0
0,1.455e+05,70500,200,0
0,1.4565e+05,70650,200,0
0,1.458e+05,70800,200,0
0,1.4595e+05,70950,200,0
0,1.461e+05,71100,200,0
0,1.4625e+05,71250,200,0
0,1.464e+05,71400,200,0
0,1.4655e+05,71550,200,0
0,1.467e+05,71700,200,0
0,1.4685e+05,71850,200,0
0,1.47e+05,72000,200,0
0,1.4715e+05,72150,200,0
0,1.473e+05,72300,200,0
0,1.4745e+05,72450,200,0
0,1.476e+05,72600,200,0
0,1.4775e+05,72750,200,0
0,1.479e+05,72900,200,0
0,1.4805e+05,73050,200,0
0,1.482e+05,73200,200,0
0,1.4835e+05,73350,200,0
0,1.485e+05,73500,200,0
0,1.4865e+05,73650,200,0
0,1.488e+05,73800,200,0
0,1.4895e+05,73950,200,0
0,1.491e+05,74100,200,0
0,1.4925e+05,74250,200,0
0,1.494e+05,74400,200,0
0,1.4955e+05,74550,200,0
0,1.497e+05,74700,200,0
0,1.4985e+05,74850,200,0
0,1.5e+05,75000,200,0
